jurisdiction,caseType,caseId
PROBATE,GrantOfRepresentation,1596237851385266
PROBATE,GrantOfRepresentation,1596236846850616
PROBATE,GrantOfRepresentation,1599817396202295
PROBATE,GrantOfRepresentation,1599817383126804
PROBATE,GrantOfRepresentation,1599817310181120
PROBATE,GrantOfRepresentation,1599816791914397
PROBATE,GrantOfRepresentation,1599816771440884
PROBATE,GrantOfRepresentation,1599816738568983
PROBATE,GrantOfRepresentation,1599816709847259
PROBATE,GrantOfRepresentation,1599816717119170
PROBATE,GrantOfRepresentation,1599816748180639
PROBATE,GrantOfRepresentation,1599816712031727
PROBATE,GrantOfRepresentation,1599816694925995
PROBATE,GrantOfRepresentation,1599816738092455
PROBATE,GrantOfRepresentation,1599816697014219
PROBATE,GrantOfRepresentation,1599816754033474
PROBATE,GrantOfRepresentation,1599816752558712
PROBATE,GrantOfRepresentation,1599816673371815
PROBATE,GrantOfRepresentation,1599816679572549
PROBATE,GrantOfRepresentation,1599816678804844
PROBATE,GrantOfRepresentation,1599816658395649
PROBATE,GrantOfRepresentation,1599816604771182
PROBATE,GrantOfRepresentation,1599816608249276
PROBATE,GrantOfRepresentation,1599816652371869
PROBATE,GrantOfRepresentation,1599816662026933
PROBATE,GrantOfRepresentation,1599816656503236
PROBATE,GrantOfRepresentation,1599816690767755
PROBATE,GrantOfRepresentation,1599816667739639
PROBATE,GrantOfRepresentation,1599816604542302
PROBATE,GrantOfRepresentation,1599816633958727
PROBATE,GrantOfRepresentation,1599816645940465
PROBATE,GrantOfRepresentation,1599816595116645
PROBATE,GrantOfRepresentation,1599816601321056
PROBATE,GrantOfRepresentation,1599816613194830
PROBATE,GrantOfRepresentation,1599816543309797
PROBATE,GrantOfRepresentation,1599816640568048
PROBATE,GrantOfRepresentation,1599816566656157
PROBATE,GrantOfRepresentation,1599816624513028
PROBATE,GrantOfRepresentation,1599816607510744
PROBATE,GrantOfRepresentation,1599816593671567
PROBATE,GrantOfRepresentation,1599816571515679
PROBATE,GrantOfRepresentation,1599816573540386
PROBATE,GrantOfRepresentation,1599816551577962
PROBATE,GrantOfRepresentation,1599816574582072
PROBATE,GrantOfRepresentation,1599816522598584
PROBATE,GrantOfRepresentation,1599816546556881
PROBATE,GrantOfRepresentation,1599816522976228
PROBATE,GrantOfRepresentation,1599816574990499
PROBATE,GrantOfRepresentation,1599816533231431
PROBATE,GrantOfRepresentation,1599816560796124
PROBATE,GrantOfRepresentation,1599816487204491
PROBATE,GrantOfRepresentation,1599816525507764
PROBATE,GrantOfRepresentation,1599816575207190
PROBATE,GrantOfRepresentation,1599816535117471
PROBATE,GrantOfRepresentation,1599816554576615
PROBATE,GrantOfRepresentation,1599816541026203
PROBATE,GrantOfRepresentation,1599816457729329
PROBATE,GrantOfRepresentation,1599816439447107
PROBATE,GrantOfRepresentation,1599816504412473
PROBATE,GrantOfRepresentation,1599816469607752
PROBATE,GrantOfRepresentation,1599816540641416
PROBATE,GrantOfRepresentation,1599816522970254
PROBATE,GrantOfRepresentation,1599816479319042
PROBATE,GrantOfRepresentation,1599816476111228
PROBATE,GrantOfRepresentation,1599816510530342
PROBATE,GrantOfRepresentation,1599816499265332
PROBATE,GrantOfRepresentation,1599816435753128
PROBATE,GrantOfRepresentation,1599816512648217
PROBATE,GrantOfRepresentation,1599816433713272
PROBATE,GrantOfRepresentation,1599816549877490
PROBATE,GrantOfRepresentation,1599816456255961
PROBATE,GrantOfRepresentation,1599816495033841
PROBATE,GrantOfRepresentation,1599816394341295
PROBATE,GrantOfRepresentation,1599816385240308
PROBATE,GrantOfRepresentation,1599816413415336
PROBATE,GrantOfRepresentation,1599816450381185
PROBATE,GrantOfRepresentation,1599815408564009
PROBATE,GrantOfRepresentation,1599815445077890
PROBATE,GrantOfRepresentation,1599815394344853
PROBATE,GrantOfRepresentation,1599815362199735
PROBATE,GrantOfRepresentation,1599815407001664
PROBATE,GrantOfRepresentation,1599815366634059
PROBATE,GrantOfRepresentation,1599815361279843
PROBATE,GrantOfRepresentation,1599815341550388
PROBATE,GrantOfRepresentation,1599815374727028
PROBATE,GrantOfRepresentation,1599815327681314
PROBATE,GrantOfRepresentation,1599815375902091
PROBATE,GrantOfRepresentation,1599815357370747
PROBATE,GrantOfRepresentation,1599815310734179
PROBATE,GrantOfRepresentation,1599815340712427
PROBATE,GrantOfRepresentation,1599815319937732
PROBATE,GrantOfRepresentation,1599815276595150
PROBATE,GrantOfRepresentation,1599815349453098
PROBATE,GrantOfRepresentation,1599815312064591
PROBATE,GrantOfRepresentation,1599815283955389
PROBATE,GrantOfRepresentation,1599815331550844
PROBATE,GrantOfRepresentation,1599815262345321
PROBATE,GrantOfRepresentation,1599815288539832
PROBATE,GrantOfRepresentation,1599815300883432
PROBATE,GrantOfRepresentation,1599815298089364
